,Epoch,LR,Train Loss,Val Loss,Train Acc,Val Acc,Train AUC,Val AUC,Train Prec,Val Prec,Train Recall,Val Recall
,16,0.0000,0.0167,0.0498,0.9960,0.9853,0.9997,0.9974,0.9976,0.9879,0.9966,0.9879
,17,0.0000,0.0207,0.0501,0.9927,0.9853,0.9998,0.9974,0.9956,0.9879,0.9940,0.9879
,18,0.0000,0.0189,0.0505,0.9932,0.9841,0.9997,0.9975,0.9966,0.9879,0.9936,0.9859
,19,0.0000,0.0136,0.0523,0.9960,0.9841,0.9999,0.9975,0.9983,0.9879,0.9960,0.9859
,20,0.0000,0.0172,0.0523,0.9927,0.9829,0.9997,0.9974,0.9980,0.9879,0.9916,0.9839
,21,0.0000,0.0210,0.0521,0.9927,0.9829,0.9993,0.9975,0.9983,0.9879,0.9913,0.9839
,22,0.0000,0.0123,0.0525,0.9965,0.9829,0.9999,0.9975,0.9990,0.9879,0.9960,0.9839
⭐,23,0.0000,0.0162,0.0495,0.9944,0.9841,0.9997,0.9975,0.9980,0.9879,0.9940,0.9859
,24,0.0000,0.0151,0.0504,0.9956,0.9841,0.9996,0.9975,0.9987,0.9879,0.9950,0.9859
,25,0.0000,0.0119,0.0513,0.9965,0.9829,0.9998,0.9975,0.9993,0.9879,0.9956,0.9839
